timestamp,system,decision,outcome,group_region,group_tier,feature_score
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,south,premium,0.324
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.151
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.651
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,south,basic,0.072
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.536
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.366
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,south,premium,0.058
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.507
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.037
2026-08-01T12:00:00Z,dispatch-optimizer,1,0,south,basic,0.434
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.07
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.091
2026-08-01T12:00:00Z,dispatch-optimizer,1,0,south,premium,0.425
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.827
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.124
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,south,basic,0.223
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.627
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.948
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,south,premium,0.577
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.397
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.976
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,south,basic,0.047
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.858
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.29
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,south,premium,0.144
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.118
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.308
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,south,basic,0.816
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.181
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.582
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,south,premium,0.639
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.372
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.548
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,south,basic,0.063
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.06
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.206
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,south,premium,0.68
2026-08-01T12:00:00Z,dispatch-optimizer,1,0,north,basic,0.428
2026-08-01T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.314
2026-08-01T12:00:00Z,dispatch-optimizer,1,1,south,basic,0.586
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,premium,0.453
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.3
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.794
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,basic,0.699
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.244
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.574
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,premium,0.525
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.875
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.729
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,south,basic,0.288
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.98
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.118
2026-08-02T12:00:00Z,dispatch-optimizer,1,0,south,premium,0.418
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.757
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.152
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,basic,0.489
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.039
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.668
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,premium,0.765
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.573
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.875
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,south,basic,0.314
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.695
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.594
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,premium,0.58
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.456
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.84
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,basic,0.945
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.474
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.664
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,south,premium,0.061
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.701
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.647
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,basic,0.993
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.822
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.285
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,south,premium,0.386
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.669
2026-08-02T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.023
2026-08-02T12:00:00Z,dispatch-optimizer,1,1,south,basic,0.462
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,south,premium,0.168
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.117
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.059
2026-08-03T12:00:00Z,dispatch-optimizer,1,1,south,basic,0.768
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.129
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,north,basic,0.248
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,south,premium,0.391
2026-08-03T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.871
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.081
2026-08-03T12:00:00Z,dispatch-optimizer,1,0,south,basic,0.449
2026-08-03T12:00:00Z,dispatch-optimizer,1,1,north,premium,0.549
2026-08-03T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.883
2026-08-03T12:00:00Z,dispatch-optimizer,1,1,south,premium,0.819
2026-08-03T12:00:00Z,dispatch-optimizer,1,1,north,basic,0.864
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.278
2026-08-03T12:00:00Z,dispatch-optimizer,1,0,south,basic,0.415
2026-08-03T12:00:00Z,dispatch-optimizer,0,0,north,premium,0.359
